delivery_start__utc_,delivery_end__utc_,price__euro_per_mwh_
2025-06-07 00:00:00.000000 UTC,2025-06-07 00:15:00.000000 UTC,95.7
2025-06-07 00:15:00.000000 UTC,2025-06-07 00:30:00.000000 UTC,94.47
2025-06-07 00:30:00.000000 UTC,2025-06-07 00:45:00.000000 UTC,94.31
2025-06-07 00:45:00.000000 UTC,2025-06-07 01:00:00.000000 UTC,95.5
2025-06-07 01:00:00.000000 UTC,2025-06-07 01:15:00.000000 UTC,116.33
2025-06-07 01:15:00.000000 UTC,2025-06-07 01:30:00.000000 UTC,104.52
2025-06-07 01:30:00.000000 UTC,2025-06-07 01:45:00.000000 UTC,110.52
2025-06-07 01:45:00.000000 UTC,2025-06-07 02:00:00.000000 UTC,112.64
2025-06-07 02:00:00.000000 UTC,2025-06-07 02:15:00.000000 UTC,100.42
2025-06-07 02:15:00.000000 UTC,2025-06-07 02:30:00.000000 UTC,113.39
2025-06-07 02:30:00.000000 UTC,2025-06-07 02:45:00.000000 UTC,122.35
2025-06-07 02:45:00.000000 UTC,2025-06-07 03:00:00.000000 UTC,130.11
2025-06-07 03:00:00.000000 UTC,2025-06-07 03:15:00.000000 UTC,107.48
2025-06-07 03:15:00.000000 UTC,2025-06-07 03:30:00.000000 UTC,114.29
2025-06-07 03:30:00.000000 UTC,2025-06-07 03:45:00.000000 UTC,130.65
2025-06-07 03:45:00.000000 UTC,2025-06-07 04:00:00.000000 UTC,150.39
2025-06-07 04:00:00.000000 UTC,2025-06-07 04:15:00.000000 UTC,147.48
2025-06-07 04:15:00.000000 UTC,2025-06-07 04:30:00.000000 UTC,153.52
2025-06-07 04:30:00.000000 UTC,2025-06-07 04:45:00.000000 UTC,135.77
2025-06-07 04:45:00.000000 UTC,2025-06-07 05:00:00.000000 UTC,172.91
2025-06-07 05:00:00.000000 UTC,2025-06-07 05:15:00.000000 UTC,165.21
2025-06-07 05:15:00.000000 UTC,2025-06-07 05:30:00.000000 UTC,175.94
2025-06-07 05:30:00.000000 UTC,2025-06-07 05:45:00.000000 UTC,186.17
2025-06-07 05:45:00.000000 UTC,2025-06-07 06:00:00.000000 UTC,199.19
2025-06-07 06:00:00.000000 UTC,2025-06-07 06:15:00.000000 UTC,297.31
2025-06-07 06:15:00.000000 UTC,2025-06-07 06:30:00.000000 UTC,522.34
2025-06-07 06:30:00.000000 UTC,2025-06-07 06:45:00.000000 UTC,474.57
2025-06-07 06:45:00.000000 UTC,2025-06-07 07:00:00.000000 UTC,546.48
2025-06-07 07:00:00.000000 UTC,2025-06-07 07:15:00.000000 UTC,463.06
2025-06-07 07:15:00.000000 UTC,2025-06-07 07:30:00.000000 UTC,137.48
2025-06-07 07:30:00.000000 UTC,2025-06-07 07:45:00.000000 UTC,130.59
2025-06-07 07:45:00.000000 UTC,2025-06-07 08:00:00.000000 UTC,128.77
2025-06-07 08:00:00.000000 UTC,2025-06-07 08:15:00.000000 UTC,127.79
2025-06-07 08:15:00.000000 UTC,2025-06-07 08:30:00.000000 UTC,119.88
2025-06-07 08:30:00.000000 UTC,2025-06-07 08:45:00.000000 UTC,112.15
2025-06-07 08:45:00.000000 UTC,2025-06-07 09:00:00.000000 UTC,122.11
2025-06-07 09:00:00.000000 UTC,2025-06-07 09:15:00.000000 UTC,384.77
2025-06-07 09:15:00.000000 UTC,2025-06-07 09:30:00.000000 UTC,297.95
2025-06-07 09:30:00.000000 UTC,2025-06-07 09:45:00.000000 UTC,143.29
2025-06-07 09:45:00.000000 UTC,2025-06-07 10:00:00.000000 UTC,149.74
2025-06-07 10:00:00.000000 UTC,2025-06-07 10:15:00.000000 UTC,167.55
2025-06-07 10:15:00.000000 UTC,2025-06-07 10:30:00.000000 UTC,99.9
2025-06-07 10:30:00.000000 UTC,2025-06-07 10:45:00.000000 UTC,71.9
2025-06-07 10:45:00.000000 UTC,2025-06-07 11:00:00.000000 UTC,56.9
2025-06-07 11:00:00.000000 UTC,2025-06-07 11:15:00.000000 UTC,109.55
2025-06-07 11:15:00.000000 UTC,2025-06-07 11:30:00.000000 UTC,65.44
2025-06-07 11:30:00.000000 UTC,2025-06-07 11:45:00.000000 UTC,61.63
2025-06-07 11:45:00.000000 UTC,2025-06-07 12:00:00.000000 UTC,57.81
2025-06-07 12:00:00.000000 UTC,2025-06-07 12:15:00.000000 UTC,82.48
2025-06-07 12:15:00.000000 UTC,2025-06-07 12:30:00.000000 UTC,83.42
2025-06-07 12:30:00.000000 UTC,2025-06-07 12:45:00.000000 UTC,85.16
2025-06-07 12:45:00.000000 UTC,2025-06-07 13:00:00.000000 UTC,83.25
2025-06-07 13:00:00.000000 UTC,2025-06-07 13:15:00.000000 UTC,59.97
2025-06-07 13:15:00.000000 UTC,2025-06-07 13:30:00.000000 UTC,75.4
2025-06-07 13:30:00.000000 UTC,2025-06-07 13:45:00.000000 UTC,71.31
2025-06-07 13:45:00.000000 UTC,2025-06-07 14:00:00.000000 UTC,77.52
2025-06-07 14:00:00.000000 UTC,2025-06-07 14:15:00.000000 UTC,68.58
2025-06-07 14:15:00.000000 UTC,2025-06-07 14:30:00.000000 UTC,74.54
2025-06-07 14:30:00.000000 UTC,2025-06-07 14:45:00.000000 UTC,72.58
2025-06-07 14:45:00.000000 UTC,2025-06-07 15:00:00.000000 UTC,86.83
2025-06-07 15:00:00.000000 UTC,2025-06-07 15:15:00.000000 UTC,76.21
2025-06-07 15:15:00.000000 UTC,2025-06-07 15:30:00.000000 UTC,90.95
2025-06-07 15:30:00.000000 UTC,2025-06-07 15:45:00.000000 UTC,114.95
2025-06-07 15:45:00.000000 UTC,2025-06-07 16:00:00.000000 UTC,114.41
2025-06-07 16:00:00.000000 UTC,2025-06-07 16:15:00.000000 UTC,75.86
2025-06-07 16:15:00.000000 UTC,2025-06-07 16:30:00.000000 UTC,95.74
2025-06-07 16:30:00.000000 UTC,2025-06-07 16:45:00.000000 UTC,103.76
2025-06-07 16:45:00.000000 UTC,2025-06-07 17:00:00.000000 UTC,175.69
2025-06-07 17:00:00.000000 UTC,2025-06-07 17:15:00.000000 UTC,99.94
2025-06-07 17:15:00.000000 UTC,2025-06-07 17:30:00.000000 UTC,104.56
2025-06-07 17:30:00.000000 UTC,2025-06-07 17:45:00.000000 UTC,135.53
2025-06-07 17:45:00.000000 UTC,2025-06-07 18:00:00.000000 UTC,164.73
2025-06-07 18:00:00.000000 UTC,2025-06-07 18:15:00.000000 UTC,151.31
2025-06-07 18:15:00.000000 UTC,2025-06-07 18:30:00.000000 UTC,148.32
2025-06-07 18:30:00.000000 UTC,2025-06-07 18:45:00.000000 UTC,133.51
2025-06-07 18:45:00.000000 UTC,2025-06-07 19:00:00.000000 UTC,102.67
2025-06-07 19:00:00.000000 UTC,2025-06-07 19:15:00.000000 UTC,154.55
2025-06-07 19:15:00.000000 UTC,2025-06-07 19:30:00.000000 UTC,118.02
2025-06-07 19:30:00.000000 UTC,2025-06-07 19:45:00.000000 UTC,93.34
2025-06-07 19:45:00.000000 UTC,2025-06-07 20:00:00.000000 UTC,96.92
2025-06-07 20:00:00.000000 UTC,2025-06-07 20:15:00.000000 UTC,123.39
