Datum;Zeitzone;von;bis;Datenkategorie;Datentyp;Einheit;reBAP unterdeckt;reBAP ueberdeckt
08.06.2025;UTC;00:00;00:15;reBAP;Qualitätsgesichert;EUR/MWh;87,11;87,11
08.06.2025;UTC;00:15;00:30;reBAP;Qualitätsgesichert;EUR/MWh;-14,35;-14,35
08.06.2025;UTC;00:30;00:45;reBAP;Qualitätsgesichert;EUR/MWh;12,35;12,35
08.06.2025;UTC;00:45;01:00;reBAP;Qualitätsgesichert;EUR/MWh;39,10;39,10
08.06.2025;UTC;01:00;01:15;reBAP;Qualitätsgesichert;EUR/MWh;44,61;44,61
08.06.2025;UTC;01:15;01:30;reBAP;Qualitätsgesichert;EUR/MWh;-23,25;-23,25
08.06.2025;UTC;01:30;01:45;reBAP;Qualitätsgesichert;EUR/MWh;24,00;24,00
08.06.2025;UTC;01:45;02:00;reBAP;Qualitätsgesichert;EUR/MWh;-27,98;-27,98
08.06.2025;UTC;03:45;04:00;reBAP;Qualitätsgesichert;EUR/MWh;-30,90;-30,90
08.06.2025;UTC;04:00;04:15;reBAP;Qualitätsgesichert;EUR/MWh;-23,74;-23,74
08.06.2025;UTC;04:15;04:30;reBAP;Qualitätsgesichert;EUR/MWh;-21,11;-21,11
08.06.2025;UTC;04:30;04:45;reBAP;Qualitätsgesichert;EUR/MWh;-4,55;-4,55
08.06.2025;UTC;04:45;05:00;reBAP;Qualitätsgesichert;EUR/MWh;9,13;9,13
08.06.2025;UTC;05:00;05:15;reBAP;Qualitätsgesichert;EUR/MWh;-5,57;-5,57
08.06.2025;UTC;05:15;05:30;reBAP;Qualitätsgesichert;EUR/MWh;-13,34;-13,34
08.06.2025;UTC;05:30;05:45;reBAP;Qualitätsgesichert;EUR/MWh;-4,68;-4,68
08.06.2025;UTC;05:45;06:00;reBAP;Qualitätsgesichert;EUR/MWh;52,50;52,50
08.06.2025;UTC;06:00;06:15;reBAP;Qualitätsgesichert;EUR/MWh;46,75;46,75
08.06.2025;UTC;06:15;06:30;reBAP;Qualitätsgesichert;EUR/MWh;24,63;24,63
08.06.2025;UTC;06:30;06:45;reBAP;Qualitätsgesichert;EUR/MWh;4,20;4,20
08.06.2025;UTC;06:45;07:00;reBAP;Qualitätsgesichert;EUR/MWh;-43,04;-43,04
08.06.2025;UTC;07:00;07:15;reBAP;Qualitätsgesichert;EUR/MWh;80,14;80,14
08.06.2025;UTC;07:15;07:30;reBAP;Qualitätsgesichert;EUR/MWh;41,15;41,15
08.06.2025;UTC;07:30;07:45;reBAP;Qualitätsgesichert;EUR/MWh;7,01;7,01
08.06.2025;UTC;07:45;08:00;reBAP;Qualitätsgesichert;EUR/MWh;8,94;8,94
08.06.2025;UTC;08:00;08:15;reBAP;Qualitätsgesichert;EUR/MWh;24,21;24,21
