Datum;Zeitzone;von;bis;Datenkategorie;Datentyp;Einheit;AEP-Schätzer;Status
03.06.2025;UTC;23:15;23:30;AEP-Schätzer;Betrieblich;EUR/MWh;144,24;0,00
03.06.2025;UTC;23:30;23:45;AEP-Schätzer;Betrieblich;EUR/MWh;141,17;0,00
03.06.2025;UTC;23:45;00:00;AEP-Schätzer;Betrieblich;EUR/MWh;74,91;0,00
04.06.2025;UTC;00:00;00:15;AEP-Schätzer;Betrieblich;EUR/MWh;92,04;0,00
04.06.2025;UTC;00:15;00:30;AEP-Schätzer;Betrieblich;EUR/MWh;69,07;0,00
04.06.2025;UTC;00:30;00:45;AEP-Schätzer;Betrieblich;EUR/MWh;117,51;0,00
04.06.2025;UTC;00:45;01:00;AEP-Schätzer;Betrieblich;EUR/MWh;111,94;0,00
04.06.2025;UTC;01:00;01:15;AEP-Schätzer;Betrieblich;EUR/MWh;115,99;0,00
04.06.2025;UTC;01:15;01:30;AEP-Schätzer;Betrieblich;EUR/MWh;134,13;0,00
04.06.2025;UTC;01:30;01:45;AEP-Schätzer;Betrieblich;EUR/MWh;132,36;0,00
04.06.2025;UTC;01:45;02:00;AEP-Schätzer;Betrieblich;EUR/MWh;138,54;0,00
04.06.2025;UTC;02:00;02:15;AEP-Schätzer;Betrieblich;EUR/MWh;118,40;0,00
04.06.2025;UTC;02:15;02:30;AEP-Schätzer;Betrieblich;EUR/MWh;125,85;0,00
04.06.2025;UTC;02:30;02:45;AEP-Schätzer;Betrieblich;EUR/MWh;114,48;0,00
04.06.2025;UTC;02:45;03:00;AEP-Schätzer;Betrieblich;EUR/MWh;136,09;0,00
04.06.2025;UTC;03:00;03:15;AEP-Schätzer;Betrieblich;EUR/MWh;118,31;0,00
04.06.2025;UTC;03:15;03:30;AEP-Schätzer;Betrieblich;EUR/MWh;51,65;0,00
04.06.2025;UTC;03:30;03:45;AEP-Schätzer;Betrieblich;EUR/MWh;109,21;0,00
04.06.2025;UTC;03:45;04:00;AEP-Schätzer;Betrieblich;EUR/MWh;100,61;0,00
04.06.2025;UTC;04:00;04:15;AEP-Schätzer;Betrieblich;EUR/MWh;54,22;0,00
04.06.2025;UTC;04:15;04:30;AEP-Schätzer;Betrieblich;EUR/MWh;60,45;0,00
04.06.2025;UTC;04:30;04:45;AEP-Schätzer;Betrieblich;EUR/MWh;49,75;0,00
04.06.2025;UTC;04:45;05:00;AEP-Schätzer;Betrieblich;EUR/MWh;48,00;0,00
04.06.2025;UTC;05:00;05:15;AEP-Schätzer;Betrieblich;EUR/MWh;57,69;0,00
04.06.2025;UTC;05:15;05:30;AEP-Schätzer;Betrieblich;EUR/MWh;67,11;0,00
04.06.2025;UTC;05:30;05:45;AEP-Schätzer;Betrieblich;EUR/MWh;100,73;0,00
04.06.2025;UTC;05:45;06:00;AEP-Schätzer;Betrieblich;EUR/MWh;110,99;0,00
04.06.2025;UTC;06:00;06:15;AEP-Schätzer;Betrieblich;EUR/MWh;178,15;0,00
04.06.2025;UTC;06:15;06:30;AEP-Schätzer;Betrieblich;EUR/MWh;318,80;0,00
04.06.2025;UTC;06:30;06:45;AEP-Schätzer;Betrieblich;EUR/MWh;498,82;0,00
04.06.2025;UTC;06:45;07:00;AEP-Schätzer;Betrieblich;EUR/MWh;300,45;0,00
04.06.2025;UTC;07:00;07:15;AEP-Schätzer;Betrieblich;EUR/MWh;2,31;0,00
04.06.2025;UTC;07:15;07:30;AEP-Schätzer;Betrieblich;EUR/MWh;179,73;0,00
04.06.2025;UTC;07:30;07:45;AEP-Schätzer;Betrieblich;EUR/MWh;226,66;0,00
04.06.2025;UTC;07:45;08:00;AEP-Schätzer;Betrieblich;EUR/MWh;150,13;0,00
04.06.2025;UTC;08:00;08:15;AEP-Schätzer;Betrieblich;EUR/MWh;10,49;0,00
04.06.2025;UTC;08:15;08:30;AEP-Schätzer;Betrieblich;EUR/MWh;15,98;0,00
04.06.2025;UTC;08:30;08:45;AEP-Schätzer;Betrieblich;EUR/MWh;44,93;0,00
04.06.2025;UTC;08:45;09:00;AEP-Schätzer;Betrieblich;EUR/MWh;43,06;0,00
04.06.2025;UTC;09:00;09:15;AEP-Schätzer;Betrieblich;EUR/MWh;31,90;0,00
04.06.2025;UTC;09:15;09:30;AEP-Schätzer;Betrieblich;EUR/MWh;60,38;0,00
04.06.2025;UTC;09:30;09:45;AEP-Schätzer;Betrieblich;EUR/MWh;1,32;0,00
04.06.2025;UTC;09:45;10:00;AEP-Schätzer;Betrieblich;EUR/MWh;-9,64;0,00
04.06.2025;UTC;10:00;10:15;AEP-Schätzer;Betrieblich;EUR/MWh;193,04;0,00
04.06.2025;UTC;10:15;10:30;AEP-Schätzer;Betrieblich;EUR/MWh;276,99;0,00
04.06.2025;UTC;10:30;10:45;AEP-Schätzer;Betrieblich;EUR/MWh;263,22;0,00
04.06.2025;UTC;10:45;11:00;AEP-Schätzer;Betrieblich;EUR/MWh;144,66;0,00
04.06.2025;UTC;11:00;11:15;AEP-Schätzer;Betrieblich;EUR/MWh;169,11;0,00
04.06.2025;UTC;11:15;11:30;AEP-Schätzer;Betrieblich;EUR/MWh;211,54;0,00
04.06.2025;UTC;11:30;11:45;AEP-Schätzer;Betrieblich;EUR/MWh;11,90;0,00
04.06.2025;UTC;11:45;12:00;AEP-Schätzer;Betrieblich;EUR/MWh;22,15;0,00
04.06.2025;UTC;12:00;12:15;AEP-Schätzer;Betrieblich;EUR/MWh;-12,12;0,00
04.06.2025;UTC;12:15;12:30;AEP-Schätzer;Betrieblich;EUR/MWh;-26,35;0,00
04.06.2025;UTC;12:30;12:45;AEP-Schätzer;Betrieblich;EUR/MWh;-30,22;0,00
04.06.2025;UTC;12:45;13:00;AEP-Schätzer;Betrieblich;EUR/MWh;-41,56;0,00
04.06.2025;UTC;13:00;13:15;AEP-Schätzer;Betrieblich;EUR/MWh;-52,09;0,00
04.06.2025;UTC;13:15;13:30;AEP-Schätzer;Betrieblich;EUR/MWh;-43,07;0,00
04.06.2025;UTC;13:30;13:45;AEP-Schätzer;Betrieblich;EUR/MWh;-31,75;0,00
04.06.2025;UTC;13:45;14:00;AEP-Schätzer;Betrieblich;EUR/MWh;-11,87;0,00
04.06.2025;UTC;14:00;14:15;AEP-Schätzer;Betrieblich;EUR/MWh;136,12;0,00
04.06.2025;UTC;14:15;14:30;AEP-Schätzer;Betrieblich;EUR/MWh;182,11;0,00
04.06.2025;UTC;14:30;14:45;AEP-Schätzer;Betrieblich;EUR/MWh;188,54;0,00
04.06.2025;UTC;14:45;15:00;AEP-Schätzer;Betrieblich;EUR/MWh;34,91;0,00
04.06.2025;UTC;15:00;15:15;AEP-Schätzer;Betrieblich;EUR/MWh;-3,92;0,00
04.06.2025;UTC;15:15;15:30;AEP-Schätzer;Betrieblich;EUR/MWh;183,78;0,00
04.06.2025;UTC;15:30;15:45;AEP-Schätzer;Betrieblich;EUR/MWh;41,28;0,00
04.06.2025;UTC;15:45;16:00;AEP-Schätzer;Betrieblich;EUR/MWh;31,42;0,00
04.06.2025;UTC;16:00;16:15;AEP-Schätzer;Betrieblich;EUR/MWh;66,49;0,00
04.06.2025;UTC;16:15;16:30;AEP-Schätzer;Betrieblich;EUR/MWh;60,43;0,00
04.06.2025;UTC;16:30;16:45;AEP-Schätzer;Betrieblich;EUR/MWh;41,88;0,00
04.06.2025;UTC;16:45;17:00;AEP-Schätzer;Betrieblich;EUR/MWh;62,29;0,00
04.06.2025;UTC;17:00;17:15;AEP-Schätzer;Betrieblich;EUR/MWh;45,62;0,00
04.06.2025;UTC;17:15;17:30;AEP-Schätzer;Betrieblich;EUR/MWh;33,66;0,00
04.06.2025;UTC;17:30;17:45;AEP-Schätzer;Betrieblich;EUR/MWh;51,78;0,00
04.06.2025;UTC;17:45;18:00;AEP-Schätzer;Betrieblich;EUR/MWh;82,88;0,00
04.06.2025;UTC;18:00;18:15;AEP-Schätzer;Betrieblich;EUR/MWh;47,34;0,00
04.06.2025;UTC;18:15;18:30;AEP-Schätzer;Betrieblich;EUR/MWh;67,52;0,00
04.06.2025;UTC;18:30;18:45;AEP-Schätzer;Betrieblich;EUR/MWh;71,26;0,00
04.06.2025;UTC;18:45;19:00;AEP-Schätzer;Betrieblich;EUR/MWh;95,47;0,00
04.06.2025;UTC;19:00;19:15;AEP-Schätzer;Betrieblich;EUR/MWh;83,38;0,00
04.06.2025;UTC;19:15;19:30;AEP-Schätzer;Betrieblich;EUR/MWh;67,46;0,00
04.06.2025;UTC;19:30;19:45;AEP-Schätzer;Betrieblich;EUR/MWh;54,33;0,00
04.06.2025;UTC;19:45;20:00;AEP-Schätzer;Betrieblich;EUR/MWh;32,64;0,00
04.06.2025;UTC;20:00;20:15;AEP-Schätzer;Betrieblich;EUR/MWh;54,49;0,00
04.06.2025;UTC;20:15;20:30;AEP-Schätzer;Betrieblich;EUR/MWh;113,60;0,00
04.06.2025;UTC;20:30;20:45;AEP-Schätzer;Betrieblich;EUR/MWh;133,18;0,00
04.06.2025;UTC;20:45;21:00;AEP-Schätzer;Betrieblich;EUR/MWh;106,51;0,00
04.06.2025;UTC;21:00;21:15;AEP-Schätzer;Betrieblich;EUR/MWh;126,08;0,00
04.06.2025;UTC;21:15;21:30;AEP-Schätzer;Betrieblich;EUR/MWh;122,27;0,00
04.06.2025;UTC;21:30;21:45;AEP-Schätzer;Betrieblich;EUR/MWh;108,55;0,00
04.06.2025;UTC;21:45;22:00;AEP-Schätzer;Betrieblich;EUR/MWh;101,68;0,00
04.06.2025;UTC;22:00;22:15;AEP-Schätzer;Betrieblich;EUR/MWh;139,96;0,00
04.06.2025;UTC;22:15;22:30;AEP-Schätzer;Betrieblich;EUR/MWh;140,01;0,00
04.06.2025;UTC;22:30;22:45;AEP-Schätzer;Betrieblich;EUR/MWh;148,04;0,00
04.06.2025;UTC;22:45;23:00;AEP-Schätzer;Betrieblich;EUR/MWh;128,33;0,00
04.06.2025;UTC;23:00;23:15;AEP-Schätzer;Betrieblich;EUR/MWh;113,41;0,00
04.06.2025;UTC;23:15;23:30;AEP-Schätzer;Betrieblich;EUR/MWh;102,59;0,00
04.06.2025;UTC;23:30;23:45;AEP-Schätzer;Betrieblich;EUR/MWh;49,32;0,00
04.06.2025;UTC;23:45;00:00;AEP-Schätzer;Betrieblich;EUR/MWh;33,61;0,00
05.06.2025;UTC;00:00;00:15;AEP-Schätzer;Betrieblich;EUR/MWh;63,10;0,00
05.06.2025;UTC;00:15;00:30;AEP-Schätzer;Betrieblich;EUR/MWh;71,00;0,00
05.06.2025;UTC;00:30;00:45;AEP-Schätzer;Betrieblich;EUR/MWh;107,15;0,00
05.06.2025;UTC;00:45;01:00;AEP-Schätzer;Betrieblich;EUR/MWh;101,14;0,00
05.06.2025;UTC;01:00;01:15;AEP-Schätzer;Betrieblich;EUR/MWh;121,64;0,00
05.06.2025;UTC;01:15;01:30;AEP-Schätzer;Betrieblich;EUR/MWh;123,70;0,00
05.06.2025;UTC;01:30;01:45;AEP-Schätzer;Betrieblich;EUR/MWh;92,34;0,00
05.06.2025;UTC;01:45;02:00;AEP-Schätzer;Betrieblich;EUR/MWh;51,57;0,00
05.06.2025;UTC;02:00;02:15;AEP-Schätzer;Betrieblich;EUR/MWh;85,29;0,00
05.06.2025;UTC;02:15;02:30;AEP-Schätzer;Betrieblich;EUR/MWh;80,73;0,00
05.06.2025;UTC;02:30;02:45;AEP-Schätzer;Betrieblich;EUR/MWh;84,39;0,00
05.06.2025;UTC;02:45;03:00;AEP-Schätzer;Betrieblich;EUR/MWh;31,00;0,00
05.06.2025;UTC;03:00;03:15;AEP-Schätzer;Betrieblich;EUR/MWh;24,42;0,00
05.06.2025;UTC;03:15;03:30;AEP-Schätzer;Betrieblich;EUR/MWh;11,16;0,00
05.06.2025;UTC;03:30;03:45;AEP-Schätzer;Betrieblich;EUR/MWh;29,17;0,00
05.06.2025;UTC;03:45;04:00;AEP-Schätzer;Betrieblich;EUR/MWh;-4,49;0,00
05.06.2025;UTC;04:00;04:15;AEP-Schätzer;Betrieblich;EUR/MWh;139,90;0,00
05.06.2025;UTC;04:15;04:30;AEP-Schätzer;Betrieblich;EUR/MWh;89,58;0,00
05.06.2025;UTC;04:30;04:45;AEP-Schätzer;Betrieblich;EUR/MWh;123,25;0,00
05.06.2025;UTC;04:45;05:00;AEP-Schätzer;Betrieblich;EUR/MWh;108,26;0,00
05.06.2025;UTC;05:00;05:15;AEP-Schätzer;Betrieblich;EUR/MWh;140,79;0,00
05.06.2025;UTC;05:15;05:30;AEP-Schätzer;Betrieblich;EUR/MWh;92,06;0,00
05.06.2025;UTC;05:30;05:45;AEP-Schätzer;Betrieblich;EUR/MWh;90,01;0,00
05.06.2025;UTC;05:45;06:00;AEP-Schätzer;Betrieblich;EUR/MWh;93,36;0,00
05.06.2025;UTC;06:00;06:15;AEP-Schätzer;Betrieblich;EUR/MWh;41,08;0,00
05.06.2025;UTC;06:15;06:30;AEP-Schätzer;Betrieblich;EUR/MWh;36,79;0,00
05.06.2025;UTC;06:30;06:45;AEP-Schätzer;Betrieblich;EUR/MWh;31,20;0,00
05.06.2025;UTC;06:45;07:00;AEP-Schätzer;Betrieblich;EUR/MWh;25,60;0,00
05.06.2025;UTC;07:00;07:15;AEP-Schätzer;Betrieblich;EUR/MWh;47,63;0,00
05.06.2025;UTC;07:15;07:30;AEP-Schätzer;Betrieblich;EUR/MWh;26,80;0,00
05.06.2025;UTC;07:30;07:45;AEP-Schätzer;Betrieblich;EUR/MWh;28,86;0,00
05.06.2025;UTC;07:45;08:00;AEP-Schätzer;Betrieblich;EUR/MWh;-9,91;0,00
05.06.2025;UTC;08:00;08:15;AEP-Schätzer;Betrieblich;EUR/MWh;15,62;0,00
05.06.2025;UTC;08:15;08:30;AEP-Schätzer;Betrieblich;EUR/MWh;149,13;0,00
05.06.2025;UTC;08:30;08:45;AEP-Schätzer;Betrieblich;EUR/MWh;119,70;0,00
05.06.2025;UTC;08:45;09:00;AEP-Schätzer;Betrieblich;EUR/MWh;131,41;0,00
05.06.2025;UTC;09:00;09:15;AEP-Schätzer;Betrieblich;EUR/MWh;15,27;0,00
05.06.2025;UTC;09:15;09:30;AEP-Schätzer;Betrieblich;EUR/MWh;93,74;0,00
05.06.2025;UTC;09:30;09:45;AEP-Schätzer;Betrieblich;EUR/MWh;-12,96;0,00
05.06.2025;UTC;09:45;10:00;AEP-Schätzer;Betrieblich;EUR/MWh;6,93;0,00
05.06.2025;UTC;10:00;10:15;AEP-Schätzer;Betrieblich;EUR/MWh;12,23;0,00
05.06.2025;UTC;10:15;10:30;AEP-Schätzer;Betrieblich;EUR/MWh;50,01;0,00
05.06.2025;UTC;10:30;10:45;AEP-Schätzer;Betrieblich;EUR/MWh;56,37;0,00
05.06.2025;UTC;10:45;11:00;AEP-Schätzer;Betrieblich;EUR/MWh;2,58;0,00
05.06.2025;UTC;11:00;11:15;AEP-Schätzer;Betrieblich;EUR/MWh;3,95;0,00
05.06.2025;UTC;11:15;11:30;AEP-Schätzer;Betrieblich;EUR/MWh;37,46;0,00
05.06.2025;UTC;11:30;11:45;AEP-Schätzer;Betrieblich;EUR/MWh;39,13;0,00
05.06.2025;UTC;11:45;12:00;AEP-Schätzer;Betrieblich;EUR/MWh;30,98;0,00
05.06.2025;UTC;12:00;12:15;AEP-Schätzer;Betrieblich;EUR/MWh;21,19;0,00
05.06.2025;UTC;12:15;12:30;AEP-Schätzer;Betrieblich;EUR/MWh;19,24;0,00
05.06.2025;UTC;12:30;12:45;AEP-Schätzer;Betrieblich;EUR/MWh;20,59;0,00
05.06.2025;UTC;12:45;13:00;AEP-Schätzer;Betrieblich;EUR/MWh;11,08;0,00
05.06.2025;UTC;13:00;13:15;AEP-Schätzer;Betrieblich;EUR/MWh;95,77;0,00
05.06.2025;UTC;13:15;13:30;AEP-Schätzer;Betrieblich;EUR/MWh;47,68;0,00
05.06.2025;UTC;13:30;13:45;AEP-Schätzer;Betrieblich;EUR/MWh;102,79;0,00
05.06.2025;UTC;13:45;14:00;AEP-Schätzer;Betrieblich;EUR/MWh;109,44;0,00
05.06.2025;UTC;14:00;14:15;AEP-Schätzer;Betrieblich;EUR/MWh;3,10;0,00
05.06.2025;UTC;14:15;14:30;AEP-Schätzer;Betrieblich;EUR/MWh;-7,84;0,00
05.06.2025;UTC;14:30;14:45;AEP-Schätzer;Betrieblich;EUR/MWh;-17,71;0,00
05.06.2025;UTC;14:45;15:00;AEP-Schätzer;Betrieblich;EUR/MWh;-15,34;0,00
05.06.2025;UTC;15:00;15:15;AEP-Schätzer;Betrieblich;EUR/MWh;-8,32;0,00
05.06.2025;UTC;15:15;15:30;AEP-Schätzer;Betrieblich;EUR/MWh;-4,85;0,00
05.06.2025;UTC;15:30;15:45;AEP-Schätzer;Betrieblich;EUR/MWh;54,32;0,00
05.06.2025;UTC;15:45;16:00;AEP-Schätzer;Betrieblich;EUR/MWh;209,13;0,00
05.06.2025;UTC;16:00;16:15;AEP-Schätzer;Betrieblich;EUR/MWh;135,60;0,00
05.06.2025;UTC;16:15;16:30;AEP-Schätzer;Betrieblich;EUR/MWh;242,22;0,00
05.06.2025;UTC;16:30;16:45;AEP-Schätzer;Betrieblich;EUR/MWh;-7,73;0,00
05.06.2025;UTC;16:45;17:00;AEP-Schätzer;Betrieblich;EUR/MWh;-13,53;0,00
05.06.2025;UTC;17:00;17:15;AEP-Schätzer;Betrieblich;EUR/MWh;7,80;0,00
05.06.2025;UTC;17:15;17:30;AEP-Schätzer;Betrieblich;EUR/MWh;-2,04;0,00
05.06.2025;UTC;17:30;17:45;AEP-Schätzer;Betrieblich;EUR/MWh;291,58;0,00
05.06.2025;UTC;17:45;18:00;AEP-Schätzer;Betrieblich;EUR/MWh;209,03;0,00
05.06.2025;UTC;18:00;18:15;AEP-Schätzer;Betrieblich;EUR/MWh;81,91;0,00
05.06.2025;UTC;18:15;18:30;AEP-Schätzer;Betrieblich;EUR/MWh;87,01;0,00
05.06.2025;UTC;18:30;18:45;AEP-Schätzer;Betrieblich;EUR/MWh;129,22;0,00
05.06.2025;UTC;18:45;19:00;AEP-Schätzer;Betrieblich;EUR/MWh;80,94;0,00
05.06.2025;UTC;19:00;19:15;AEP-Schätzer;Betrieblich;EUR/MWh;177,76;0,00
05.06.2025;UTC;19:15;19:30;AEP-Schätzer;Betrieblich;EUR/MWh;196,16;0,00
05.06.2025;UTC;19:30;19:45;AEP-Schätzer;Betrieblich;EUR/MWh;62,08;0,00
05.06.2025;UTC;19:45;20:00;AEP-Schätzer;Betrieblich;EUR/MWh;27,83;0,00
05.06.2025;UTC;20:00;20:15;AEP-Schätzer;Betrieblich;EUR/MWh;62,26;0,00
05.06.2025;UTC;20:15;20:30;AEP-Schätzer;Betrieblich;EUR/MWh;173,38;0,00
05.06.2025;UTC;20:30;20:45;AEP-Schätzer;Betrieblich;EUR/MWh;125,95;0,00
05.06.2025;UTC;20:45;21:00;AEP-Schätzer;Betrieblich;EUR/MWh;28,67;0,00
05.06.2025;UTC;21:00;21:15;AEP-Schätzer;Betrieblich;EUR/MWh;59,70;0,00
